身份证号码,出生日期,性别,年龄,出生地
130632196606166516,1966/6/16,男,58,河北省 保定市 安新县
130708198711118019,1987/11/11,男,37,河北省 张家口市 万全区
130706202302208415,2023/2/20,男,1,河北省 张家口市 下花园区
130630194905039590,1949/5/3,男,75,河北省 保定市 涞源县
130923197601273835,1976/1/27,男,48,河北省 沧州市 东光县
130821199512020570,1995/12/2,男,29,河北省 承德市 承德县
131081198511120456,1985/11/12,男,39,河北省 廊坊市 霸州市
130109198804078478,1988/4/7,男,36,河北省 石家庄市 藁城区
130708197405042891,1974/5/4,男,50,河北省 张家口市 万全区
130183200104182198,2001/4/18,男,23,河北省 石家庄市 晋州市
13082719700603133X,1970/6/3,男,54,河北省 承德市 宽城满族自治县
130630195603033315,1956/3/3,男,68,河北省 保定市 涞源县
130828200306178772,2003/6/17,男,21,河北省 承德市 围场满族蒙古族自治县
130425196204037717,1962/4/3,男,62,河北省 邯郸市 大名县
130130197604272598,1976/4/27,男,48,河北省 石家庄市 无极县
130924201810039653,2018/10/3,男,6,河北省 沧州市 海兴县
130435196007248876,1960/7/24,男,64,河北省 邯郸市 曲周县
130434199103119457,1991/3/11,男,33,河北省 邯郸市 魏县
130432200410060419,2004/10/6,男,20,河北省 邯郸市 广平县
130727196203081352,1962/3/8,男,62,河北省 张家口市 阳原县
130128195007124211,1950/7/12,男,74,河北省 石家庄市 深泽县
130129201105037212,2011/5/3,男,13,河北省 石家庄市 赞皇县
130404194711074693,1947/11/7,男,77,河北省 邯郸市 复兴区
130532199901021094,1999/1/2,男,25,河北省 邢台市 平乡县
13108120011221325X,2001/12/21,男,22,河北省 廊坊市 霸州市
130631199205113277,1992/5/11,男,32,河北省 保定市 望都县
130633198107233919,1981/7/23,男,43,河北省 保定市 易县
130427198908123113,1989/8/12,男,35,河北省 邯郸市 磁县
130128195904054719,1959/4/5,男,65,河北省 石家庄市 深泽县
130928194910265933,1949/10/26,男,75,河北省 沧州市 吴桥县
131122198801185173,1988/1/18,男,36,河北省 衡水市 武邑县
130725200910131570,2009/10/13,男,15,河北省 张家口市 尚义县
130609202202040698,2022/2/4,男,2,河北省 保定市 徐水区
130607200505265235,2005/5/26,男,19,河北省 保定市 满城区
